Fylke,Fylkenavn,Kommune,KommuneID,Parti,ForhåndsStemmer,StemmerTotalt,ProsentAndel,EndringStemmer03,EndringFordeling03,EndringStemmer01,EndringFordeling01
1,Østfold,Marker,0119,PP,1,4,0.2,-2,-0.3,-7,-0.4
1,Østfold,Marker,0119,RP,0,0,0,0,0,0,0
1,Østfold,Marker,0119,ABORT,1,3,0.1,3,0.1,3,0.1
1,Østfold,Marker,0119,Andre2,0,0,0,0,0,-16,-0.8
1,Østfold,Rømskog,0121,A,21,148,34.1,36,5.1,25,5
1,Østfold,Rømskog,0121,SV,0,7,1.6,0,-0.2,0,0
1,Østfold,Rømskog,0121,RV,0,3,0.7,3,0.7,3,0.7
1,Østfold,Rømskog,0121,SP,6,57,13.1,-18,-6.3,10,2
1,Østfold,Rømskog,0121,KRF,20,119,27.4,-5,-4.7,-21,-5.7
1,Østfold,Rømskog,0121,V,3,8,1.8,7,1.6,7,1.6
1,Østfold,Rømskog,0121,H,7,17,3.9,1,-0.2,-13,-3.2
1,Østfold,Rømskog,0121,FRP,7,74,17.1,30,5.7,10,1.9
1,Østfold,Rømskog,0121,KYST,0,0,0,0,0,-1,-0.2
1,Østfold,Rømskog,0121,RP,0,0,0,0,0,0,0
1,Østfold,Rømskog,0121,PP,0,1,0.2,1,0.2,-2,-0.5
1,Østfold,Rømskog,0121,MDG,0,0,0,0,0,0,0
1,Østfold,Rømskog,0121,KSP,0,0,0,-6,-1.6,-3,-0.7
1,Østfold,Rømskog,0121,DEM,0,0,0,-1,-0.3,0,0
1,Østfold,Rømskog,0121,NKP,0,0,0,0,0,0,0
1,Østfold,Rømskog,0121,ABORT,0,0,0,0,0,0,0
1,Østfold,Rømskog,0121,Andre2,0,0,0,0,0,-4,-0.9
1,Østfold,Trøgstad,0122,A,86,707,25,391,7.7,164,5.3
1,Østfold,Trøgstad,0122,SV,27,120,4.2,21,-1.2,-69,-2.6
1,Østfold,Trøgstad,0122,RV,0,12,0.4,-7,-0.6,6,0.2
1,Østfold,Trøgstad,0122,SP,33,474,16.7,-114,-15.3,24,0.4
1,Østfold,Trøgstad,0122,KRF,39,237,8.4,69,-0.8,-224,-8.3
1,Østfold,Trøgstad,0122,V,9,134,4.7,98,2.8,73,2.5
1,Østfold,Trøgstad,0122,H,22,279,9.8,106,0.4,-204,-7.7
1,Østfold,Trøgstad,0122,FRP,71,843,29.8,434,7.4,356,12.1
1,Østfold,Trøgstad,0122,DEM,0,1,0,-1,-0.1,1,0
1,Østfold,Trøgstad,0122,KSP,1,4,0.1,-2,-0.2,2,0.1
1,Østfold,Trøgstad,0122,KYST,0,6,0.2,1,-0.1,-8,-0.3
1,Østfold,Trøgstad,0122,MDG,1,3,0.1,3,0.1,3,0.1
1,Østfold,Trøgstad,0122,NKP,1,1,0,1,0,1,0
1,Østfold,Trøgstad,0122,PP,2,9,0.3,-3,-0.3,-10,-0.4
1,Østfold,Trøgstad,0122,RP,0,1,0,1,0,1,0
1,Østfold,Trøgstad,0122,ABORT,0,2,0.1,2,0.1,2,0.1
1,Østfold,Trøgstad,0122,Andre2,0,0,0,0,0,-43,-1.6
1,Østfold,Spydeberg,0123,A,93,765,26.7,460,10.4,237,6.7
1,Østfold,Spydeberg,0123,SV,28,189,6.6,-13,-4.2,-88,-3.9
1,Østfold,Spydeberg,0123,RV,6,18,0.6,0,-0.3,5,0.1
1,Østfold,Spydeberg,0123,SP,28,312,10.9,-107,-11.5,-17,-1.6
1,Østfold,Spydeberg,0123,KRF,42,248,8.7,70,-0.8,-110,-4.9
1,Østfold,Spydeberg,0123,V,12,132,4.6,72,1.4,55,1.7
1,Østfold,Spydeberg,0123,H,43,409,14.3,141,0,-152,-7
1,Østfold,Spydeberg,0123,FRP,73,758,26.4,365,5.5,330,10.2
1,Østfold,Spydeberg,0123,KSP,0,4,0.1,-2,-0.2,-4,-0.2
1,Østfold,Spydeberg,0123,RP,0,2,0.1,2,0.1,2,0.1
1,Østfold,Spydeberg,0123,PP,3,13,0.5,-5,-0.5,-5,-0.2
1,Østfold,Spydeberg,0123,NKP,1,2,0.1,2,0.1,1,0
1,Østfold,Spydeberg,0123,KYST,1,5,0.2,3,0.1,-12,-0.5
1,Østfold,Spydeberg,0123,DEM,0,0,0,-5,-0.3,0,0
1,Østfold,Spydeberg,0123,MDG,0,5,0.2,5,0.2,5,0.2
1,Østfold,Spydeberg,0123,ABORT,0,4,0.1,4,0.1,4,0.1
1,Østfold,Spydeberg,0123,Andre2,0,0,0,0,0,-27,-1
1,Østfold,Askim,0124,A,447,2594,33.3,1437,9.5,909,10.4
1,Østfold,Askim,0124,SV,102,512,6.6,-22,-4.4,-385,-5.6
1,Østfold,Askim,0124,RV,15,65,0.8,-107,-2.7,10,0.1
1,Østfold,Askim,0124,SP,73,340,4.4,-5,-2.7,60,0.6
1,Østfold,Askim,0124,KRF,108,500,6.4,99,-1.8,-286,-4.3
1,Østfold,Askim,0124,V,45,343,4.4,160,0.6,73,0.7
1,Østfold,Askim,0124,H,153,1012,13,222,-3.2,-664,-9.8
1,Østfold,Askim,0124,FRP,389,2313,29.7,1113,5,856,9.9
1,Østfold,Askim,0124,KYST,4,22,0.3,6,0,-27,-0.4
1,Østfold,Askim,0124,DEM,4,10,0.1,7,0.1,10,0.1
1,Østfold,Askim,0124,KSP,1,11,0.1,-6,-0.2,-3,0
1,Østfold,Askim,0124,MDG,3,8,0.1,8,0.1,8,0.1
1,Østfold,Askim,0124,PP,15,40,0.5,-4,-0.4,-30,-0.4
1,Østfold,Askim,0124,RP,0,3,0,3,0,3,0
1,Østfold,Askim,0124,NKP,0,4,0.1,4,0.1,3,0
1,Østfold,Askim,0124,ABORT,2,7,0.1,7,0.1,7,0.1
1,Østfold,Askim,0124,Andre2,0,0,0,0,0,-122,-1.7
1,Østfold,Eidsberg,0125,A,161,1602,28.1,770,5.3,408,5.7
1,Østfold,Eidsberg,0125,SV,48,312,5.5,10,-2.8,-147,-3.1
1,Østfold,Eidsberg,0125,RV,2,17,0.3,-22,-0.8,9,0.1
1,Østfold,Eidsberg,0125,SP,78,737,12.9,44,-6,158,2.1
1,Østfold,Eidsberg,0125,KRF,59,438,7.7,95,-1.7,-372,-7.5
1,Østfold,Eidsberg,0125,V,25,301,5.3,210,2.8,126,2
1,Østfold,Eidsberg,0125,H,70,565,9.9,134,-1.9,-357,-7.4
1,Østfold,Eidsberg,0125,FRP,125,1656,29.1,815,6,628,9.8
1,Østfold,Eidsberg,0125,KSP,0,18,0.3,0,-0.2,-2,-0.1
1,Østfold,Eidsberg,0125,KYST,2,11,0.2,4,0,-15,-0.3
1,Østfold,Eidsberg,0125,MDG,0,5,0.1,5,0.1,5,0.1
1,Østfold,Eidsberg,0125,NKP,0,2,0,2,0,2,0
1,Østfold,Eidsberg,0125,PP,0,25,0.4,-31,-1.1,-12,-0.3
1,Østfold,Eidsberg,0125,RP,0,3,0.1,3,0.1,3,0.1
1,Østfold,Eidsberg,0125,DEM,2,3,0.1,2,0,3,0.1
1,Østfold,Eidsberg,0125,ABORT,0,5,0.1,5,0.1,5,0.1
1,Østfold,Eidsberg,0125,Andre2,0,0,0,0,0,-70,-1.3
1,Østfold,Skiptvet,0127,A,58,483,26.2,152,0.3,103,4.5
1,Østfold,Skiptvet,0127,SV,13,82,4.4,1,-1.9,-63,-3.8
1,Østfold,Skiptvet,0127,RV,2,4,0.2,-7,-0.6,0,0
1,Østfold,Skiptvet,0127,SP,26,303,16.4,-61,-12,28,0.7
1,Østfold,Skiptvet,0127,KRF,29,175,9.5,18,-2.8,-100,-6.2
1,Østfold,Skiptvet,0127,V,9,59,3.2,38,1.6,-1,-0.2
1,Østfold,Skiptvet,0127,H,24,166,9,55,0.3,-94,-5.9
1,Østfold,Skiptvet,0127,FRP,48,549,29.8,364,15.3,251,12.7
1,Østfold,Skiptvet,0127,NKP,0,3,0.2,3,0.2,1,0
1,Østfold,Skiptvet,0127,PP,0,5,0.3,-2,-0.3,-2,-0.1
1,Østfold,Skiptvet,0127,MDG,0,2,0.1,2,0.1,2,0.1
1,Østfold,Skiptvet,0127,KYST,1,5,0.3,-1,-0.2,-7,-0.4
1,Østfold,Skiptvet,0127,KSP,0,3,0.2,0,-0.1,-4,-0.2
1,Østfold,Skiptvet,0127,DEM,0,2,0.1,0,0,2,0.1
1,Østfold,Skiptvet,0127,RP,0,1,0.1,1,0.1,1,0.1
1,Østfold,Skiptvet,0127,ABORT,1,3,0.2,3,0.2,3,0.2
1,Østfold,Skiptvet,0127,Andre2,0,0,0,0,0,-25,-1.4
1,Østfold,Rakkestad,0128,A,134,1103,26.9,443,2,283,6.1
1,Østfold,Rakkestad,0128,SV,33,158,3.9,59,0.1,-127,-3.4
1,Østfold,Rakkestad,0128,RV,3,11,0.3,4,0,1,0
1,Østfold,Rakkestad,0128,SP,55,706,17.2,-16,-10,11,-0.4
1,Østfold,Rakkestad,0128,KRF,69,592,14.4,73,-5.1,-298,-8.1
1,Østfold,Rakkestad,0128,V,25,182,4.4,160,3.6,109,2.6
1,Østfold,Rakkestad,0128,H,39,345,8.4,78,-1.7,-177,-4.8
1,Østfold,Rakkestad,0128,FRP,86,955,23.3,650,11.8,424,9.9
1,Østfold,Rakkestad,0128,KYST,0,11,0.3,7,0.1,-7,-0.2
1,Østfold,Rakkestad,0128,DEM,5,8,0.2,-10,-0.5,8,0.2
1,Østfold,Rakkestad,0128,MDG,0,1,0,1,0,1,0
1,Østfold,Rakkestad,0128,NKP,0,0,0,0,0,-2,-0.1
1,Østfold,Rakkestad,0128,PP,3,13,0.3,-3,-0.3,-21,-0.5
1,Østfold,Rakkestad,0128,RP,0,0,0,0,0,0,0
1,Østfold,Rakkestad,0128,KSP,1,7,0.2,-5,-0.3,-21,-0.5
1,Østfold,Rakkestad,0128,ABORT,2,7,0.2,7,0.2,7,0.2
1,Østfold,Rakkestad,0128,Andre2,0,0,0,0,0,-42,-1.1
1,Østfold,Råde,0135,A,122,1139,28.9,456,5.5,331,7.1
1,Østfold,Råde,0135,SV,32,185,4.7,2,-1.6,-110,-3.3
1,Østfold,Råde,0135,RV,1,11,0.3,-4,-0.2,3,0.1
1,Østfold,Råde,0135,SP,41,285,7.2,10,-2.2,16,0
1,Østfold,Råde,0135,KRF,69,463,11.8,84,-1.2,-211,-6.4
1,Østfold,Råde,0135,V,13,154,3.9,100,2.1,72,1.7
1,Østfold,Råde,0135,H,47,447,11.3,40,-2.6,-290,-8.5
1,Østfold,Råde,0135,FRP,113,1199,30.4,333,0.7,486,11.2
1,Østfold,Råde,0135,RP,0,0,0,0,0,0,0
1,Østfold,Råde,0135,DEM,0,0,0,-4,-0.1,0,0
1,Østfold,Råde,0135,KSP,1,10,0.3,-1,-0.1,-5,-0.2
1,Østfold,Råde,0135,KYST,3,13,0.3,6,0.1,-16,-0.5
